GEOID10,profile,time_limit,average_area
421010088022.0,pt,600,3149503.5151003907
421010088022.0,pt,1800,91898377.59584959
421010088022.0,pt,1200,28096624.76340617
421010088023.0,car,600,199618782.65497714
421010088023.0,car,1800,3395562603.7927527
421010088023.0,car,1200,1138038081.1154227
421010088023.0,foot,600,2271424.9278838555
421010088023.0,foot,1800,22298734.233503215
421010088023.0,foot,1200,9719377.997146452
421010088023.0,pt,600,3155853.014199267
421010088023.0,pt,1800,69746967.80871855
421010088023.0,pt,1200,22892241.578060836
421010088024.0,car,600,207507602.12971637
421010088024.0,car,1800,3467551609.713127
421010088024.0,car,1200,1170978025.5003552
421010088024.0,foot,600,2255224.305123268
421010088024.0,foot,1800,22337873.729582332
421010088024.0,foot,1200,9599660.110369287
421010088024.0,pt,600,3089020.747149377
421010088024.0,pt,1800,68200474.96483143
421010088024.0,pt,1200,23362137.70411974
421010342001.0,car,600,208586207.5128592
421010342001.0,car,1800,3027392020.5412216
421010342001.0,car,1200,1044476848.3370473
421010342001.0,foot,600,1391734.8547831688
421010342001.0,foot,1800,13502635.350132495
421010342001.0,foot,1200,5738053.654436494
421010342001.0,pt,600,976867.6456367377
421010342001.0,pt,1800,29212264.603578538
421010342001.0,pt,1200,7811067.565428722
421010342002.0,car,600,219686733.17671952
421010342002.0,car,1800,3082038688.8497105
421010342002.0,car,1200,1064630959.4544995
421010342002.0,foot,600,1266800.2314794045
421010342002.0,foot,1800,13322642.919285184
421010342002.0,foot,1200,5247946.83714572
421010342002.0,pt,600,840325.7893875677
421010342002.0,pt,1800,34585082.83336984
421010342002.0,pt,1200,9330948.017022062
421010170001.0,car,600,217372431.77362823
421010170001.0,car,1800,3254877511.4561834
421010170001.0,car,1200,1144334640.87463
421010170001.0,foot,600,1205535.9512690792
421010170001.0,foot,1800,16308847.622568583
421010170001.0,foot,1200,6124659.383189363
421010170001.0,pt,600,814857.7172001128
421010170001.0,pt,1800,34442531.98221207
421010170001.0,pt,1200,8583659.248647407
421010170002.0,car,600,258406668.81780958
421010170002.0,car,1800,3439682685.4182982
421010170002.0,car,1200,1249343770.6219392
421010170002.0,foot,600,1358242.0668221987
421010170002.0,foot,1800,18292728.319810834
421010170002.0,foot,1200,7123078.011507815
421010170002.0,pt,600,779878.4494312038
421010170002.0,pt,1800,40551962.61982165
421010170002.0,pt,1200,8586260.666022547
