,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
48,421010108002-600-car,"39.96655556342398,-75.2004472970602",200280887.088027,3.688387370205552,True,215868.3284639896,0.0,9376.0,1193,5.956634291696817e-06
49,421010108002-1200-car,"39.96655556342398,-75.2004472970602",1110446840.9602666,3.6416437949706997,True,832307.8650856131,0.0,11168.0,2706,2.4368568581454723e-06
50,421010108002-1800-car,"39.96655556342398,-75.2004472970602",3276715796.3072104,3.6230859026299527,True,944060.3934963488,0.0,12224.0,2856,8.716044288060172e-07
51,421010108002-600-pt,"39.96655556342398,-75.2004472970602",2312608.7351985634,3.675925925925926,True,0.0,0.0,6576.0,22,9.5130662031816e-06
52,421010108002-1200-pt,"39.96655556342398,-75.2004472970602",13833933.486621441,3.5483870967741935,True,18005.77332300889,0.0,11168.0,86,6.216597765427246e-06
53,421010108002-1800-pt,"39.96655556342398,-75.2004472970602",46735429.404238485,3.660789420957724,True,48564.06051421872,0.0,9664.0,377,8.066685270806766e-06
90,421010109002-600-foot,"39.96430097635668,-75.18964523537966",1988151.1353273473,3.5833333333333335,True,0.0,0.002698657556747182,11664.0,2,1.005959740415158e-06
91,421010109002-1200-foot,"39.96430097635668,-75.18964523537966",7991125.186895094,3.532454361054767,True,5928.539440587927,0.0,16000.0,27,3.378748219872488e-06
92,421010109002-1800-foot,"39.96430097635668,-75.18964523537966",19911738.53720292,3.597560975609756,True,20680.394502465697,0.0,16320.0,82,4.1181738021917025e-06
93,421010109002-600-car,"39.96430097635668,-75.18964523537966",231616674.5926548,3.714123545549144,True,318828.69570681197,0.0,9248.0,1299,5.608404499738875e-06
94,421010109002-1200-car,"39.96430097635668,-75.18964523537966",1206864757.5487683,3.6381763231608435,True,854042.7903450009,0.0,11296.0,2736,2.267031150662663e-06
95,421010109002-1800-car,"39.96430097635668,-75.18964523537966",3546744039.399244,3.6228545928875464,True,944060.3934963488,0.0,12224.0,2860,8.063733859081733e-07
96,421010109002-600-pt,"39.96430097635668,-75.18964523537966",1553534.4153013108,3.6160714285714284,True,3754.4222489063,0.003152606959876259,9984.0,2,1.287386993362549e-06
